Название,Категория,UPC (Айди),Описание,Рейтинг,Тип продукта,Цена без налога,Цена с налогом:,Налог,Наличие,Кол-во отзывов,Картинка,Ссылка
The Silkworm (Cormoran Strike #2),Mystery,f06039c29b5891fa,"Private investigator Cormoran Strike returns in a new mystery from Robert Galbraith, author of the #1 international bestseller The Cuckoo's Calling.When novelist Owen Quine goes missing, his wife calls in private detective Cormoran Strike. At first, Mrs. Quine just thinks her husband has gone off by himself for a few days—as he has done before—and she wants Strike to find Private investigator Cormoran Strike returns in a new mystery from Robert Galbraith, author of the #1 international bestseller The Cuckoo's Calling.When novelist Owen Quine goes missing, his wife calls in private detective Cormoran Strike. At first, Mrs. Quine just thinks her husband has gone off by himself for a few days—as he has done before—and she wants Strike to find him and bring him home.But as Strike investigates, it becomes clear that there is more to Quine's disappearance than his wife realizes. The novelist has just completed a manuscript featuring poisonous pen-portraits of almost everyone he knows. If the novel were to be published, it would ruin lives—meaning that there are a lot of people who might want him silenced.When Quine is found brutally murdered under bizarre circumstances, it becomes a race against time to understand the motivation of a ruthless killer, a killer unlike any Strike has encountered before... ...more",5,Books,£23.05,£23.05,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,91eb9605998a7c03,"The third volume of the Sandman collection is a series of four short comic book stories. In each of these otherwise unrelated stories, Morpheus serves only as a minor character. Here we meet the mother of Morpheus's son, find out what cats dream about, and discover the true origin behind Shakespeare's A Midsummer's Night Dream. The latter won a World Fantasy Award for best The third volume of the Sandman collection is a series of four short comic book stories. In each of these otherwise unrelated stories, Morpheus serves only as a minor character. Here we meet the mother of Morpheus's son, find out what cats dream about, and discover the true origin behind Shakespeare's A Midsummer's Night Dream. The latter won a World Fantasy Award for best short story, the first time a comic book was given that honor. collecting The Sandman #17–20 ...more",5,Books,£55.55,£55.55,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/df/96/df96b9a9739d2421620bfb3622f3c2d0.jpg,https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,322a9e34d87f54b1,"The much anticipated sequel to the breathtaking The Wrath and the Dawn, lauded by Publishers Weekly as ""a potent page-turner of intrigue and romance.""I am surrounded on all sides by a desert. A guest, in a prison of sand and sun. My family is here. And I do not know whom I can trust.In a land on the brink of war, Shahrzad has been torn from the love of her husband Khalid, The much anticipated sequel to the breathtaking The Wrath and the Dawn, lauded by Publishers Weekly as ""a potent page-turner of intrigue and romance.""I am surrounded on all sides by a desert. A guest, in a prison of sand and sun. My family is here. And I do not know whom I can trust.In a land on the brink of war, Shahrzad has been torn from the love of her husband Khalid, the Caliph of Khorasan. She once believed him a monster, but his secrets revealed a man tormented by guilt and a powerful curse—one that might keep them apart forever. Reunited with her family, who have taken refuge with enemies of Khalid, and Tariq, her childhood sweetheart, she should be happy. But Tariq now commands forces set on destroying Khalid's empire. Shahrzad is almost a prisoner caught between loyalties to people she loves. But she refuses to be a pawn and devises a plan.While her father, Jahandar, continues to play with magical forces he doesn't yet understand, Shahrzad tries to uncover powers that may lie dormant within her. With the help of a tattered old carpet and a tempestuous but sage young man, Shahrzad will attempt to break the curse and reunite with her one true love.From the Hardcover edition. ...more",4,Books,£58.64,£58.64,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/a9/b6/a9b62c069312790dd2d408b0b57a2976.jpg,https://books.toscrape.com/catalogue/the-rose-the-dagger-the-wrath-and-the-dawn-2_278/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,366a236aa1ea6f07,"The hilarious and loving sequel to a hilarious and loving classic of travel writing: Notes from a Small Island, Bill Bryson’s valentine to his adopted country of EnglandIn 1995 Bill Bryson got into his car and took a weeks-long farewell motoring trip about England before moving his family back to the United States. The book about that trip, Notes from a Small Island, is up The hilarious and loving sequel to a hilarious and loving classic of travel writing: Notes from a Small Island, Bill Bryson’s valentine to his adopted country of EnglandIn 1995 Bill Bryson got into his car and took a weeks-long farewell motoring trip about England before moving his family back to the United States. The book about that trip, Notes from a Small Island, is uproarious and endlessly endearing, one of the most acute and affectionate portrayals of England in all its glorious eccentricity ever written. Two decades later, he set out again to rediscover that country, and the result is The Road to Little Dribbling. Nothing is funnier than Bill Bryson on the road—prepare for the total joy and multiple episodes of unseemly laughter. ...more",1,Books,£23.21,£23.21,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/26/f5/26f5d20239a45046e756c6d09611b3ea.jpg,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,1a5044d233936b1a,"Selected by the Modern Library as one of the 100 best nonfiction books of all timeDescribed by the Chicago Tribune as ""a classic,"" The Rise of Theodore Roosevelt stands as one of the greatest biographies of our time. The publication of The Rise of Theodore Roosevelt on September 14th, 2001 marks the 100th anniversary of Theodore Roosevelt becoming president.",3,Books,£42.57,£42.57,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,https://books.toscrape.com/catalogue/the-rise-of-theodore-roosevelt-theodore-roosevelt-1_276/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,0e92ccf1bd39e68f,"Facing annihilation at the hands of the warlike Vogons is a curious time to have a craving for tea. It could only happen to the cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle across space powered by pure improbabilityband desperately in search of a place to eat.Among Arthur's motley shipmates are Ford Prefect, a longtime friend and expert Facing annihilation at the hands of the warlike Vogons is a curious time to have a craving for tea. It could only happen to the cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle across space powered by pure improbabilityband desperately in search of a place to eat.Among Arthur's motley shipmates are Ford Prefect, a longtime friend and expert contributor to the Hitchhiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMillan, a fellow Earth refugee who's gone native (her name is Trillian now); and Marvin, the moody android who suffers nothing and no one very gladly. Their destination? The ultimate hot spot for an evening of apocalyptic entertainment and fine dining, where the food (literally) speaks for itself.Will they make it? The answer: hard to say. But bear in mind that the Hitchhiker's Guide deleted the term ""Future Perfect"" from its pages, since it was discovered not to be!""What's such fun is how amusing the galaxy looks through Adams' sardonically silly eyes."" ...more",1,Books,£10.92,£10.92,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/aa/8f/aa8fc991d84aca12ed94a0a2fa1099e5.jpg,https://books.toscrape.com/catalogue/the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
The Rest Is Noise: Listening to the Twentieth Century,Add a comment,e2d47e82c50d41d9,"The Rest Is Noise: Listening to the Twentieth Century is a voyage into the labyrinth of modern music, which remains an obscure world for most people. While paintings of Picasso and Jackson Pollock sell for a hundred million dollars or more, and lines from T. S. Eliot are quoted on the yearbook pages of alienated teenagers across the land, twentieth-century classical music The Rest Is Noise: Listening to the Twentieth Century is a voyage into the labyrinth of modern music, which remains an obscure world for most people. While paintings of Picasso and Jackson Pollock sell for a hundred million dollars or more, and lines from T. S. Eliot are quoted on the yearbook pages of alienated teenagers across the land, twentieth-century classical music still sends ripples of unease through audiences. At the same time, its influence can be felt everywhere. Atonal chords crop up in jazz. Avant-garde sounds populate the soundtracks of Hollywood thrillers. Minimalism has had a huge effect on rock, pop, and dance music from the Velvet Underground onward.The Rest Is Noise shows why twentieth-century composers felt compelled to create a famously bewildering variety of sounds, from the purest beauty to the purest noise. It tells of a remarkable array of maverick personalities who resisted the cult of the classical past, struggled against the indifference of a wide public, and defied the will of dictators. Whether they have charmed audiences with sweet sounds or battered them with dissonance, composers have always been exuberantly of the present, defying the stereotype of classical music as a dying art. The narrative goes from Vienna before the First World War to Paris in the twenties, from Hitler's Germany and Stalin's Russia to downtown New York in the sixties and seventies. We follow the rise of mass culture and mass politics, of dramatic new technologies, of hot and cold wars, of experiments, revolutions, riots, and friendships forged and broken. The end result is not so much a history of twentieth-century music as a history of the twentieth century through its music. ...more",1,Books,£34.77,£34.77,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/fe/74/fe7494f92b03b9c178cf19a038011f18.jpg,https://books.toscrape.com/catalogue/the-rest-is-noise-listening-to-the-twentieth-century_274/index.html
The Red Tent,Historical Fiction,3c456328b04a8ee8,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood--the world of the red tent. It begins with the story of her mothers--Leah, Rachel, Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood--the world of the red tent. It begins with the story of her mothers--Leah, Rachel, Zilpah, and Bilhah--the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society. ...more",5,Books,£35.66,£35.66,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/15/59/155942710c3ae4bd4ed622df9a999b99.jpg,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Purpose Driven Life: What on Earth Am I Here for?,Add a comment,0e7beedf0ee9380c,"A #1 New York Times bestseller, The Purpose Driven Life will help you understand why you are alive and reveal God's amazing plan for you both here and now, and for eternity. Rick Warren will guide you through a personal forty-day spiritual journey that will transform your answer to life's most important question: What on earth am I here for? Knowing God's purpose for creat A #1 New York Times bestseller, The Purpose Driven Life will help you understand why you are alive and reveal God's amazing plan for you both here and now, and for eternity. Rick Warren will guide you through a personal forty-day spiritual journey that will transform your answer to life's most important question: What on earth am I here for? Knowing God's purpose for creating you will reduce your stress, focus your energy, simplify your decisions, give meaning to your life, and most important, prepare you for eternity. Movie stars and political leaders aren't the only ones turning to Rick Warren for spiritual guidance. Millions of people from NBA and LPGA players to corporate executives to high school students to prison inmates meet regularly to discuss The Purpose Driven Life. ...more",3,Books,£37.19,£37.19,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/e8/67/e867d03f2a94d84ff1be5800a34b9a95.jpg,https://books.toscrape.com/catalogue/the-purpose-driven-life-what-on-earth-am-i-here-for_272/index.html
The Purest Hook (Second Circle Tattoos #3),Romance,969f6c7e86554814,"Can a love built on secrets survive?Rugged, hot, and rock hard, Dred Zander is exactly the type of man that normally sends Pixie running. Not dreaming about running her hands down his washboard abs...and lower. The lead singer and guitarist for the band Preload embodies trouble behind his quick smile and guarded eyes, and Pixie left trouble behind her years ago along with Can a love built on secrets survive?Rugged, hot, and rock hard, Dred Zander is exactly the type of man that normally sends Pixie running. Not dreaming about running her hands down his washboard abs...and lower. The lead singer and guitarist for the band Preload embodies trouble behind his quick smile and guarded eyes, and Pixie left trouble behind her years ago along with the name Sarah Jane Travers and the pathetic trailer her mom called home. With her abusive past in her past, she has a new life, a new family at Second Circle, and a dream of opening her own business. She needs capital and time. What she doesn't need is a tempting long-haired rocker or the paparazzi that follow him around.But Dred has other ideas. Pixie's sweet hazel eyes, purple hair and kaleidoscopic tattoo of exotic flowers that swirl up her arm haunt his dreams, and he knows she wants him too. He just has to convince her. But as a juicy exposé threatens to expose their pasts, and a blackmailer terrorizes their present, Pixie and Dred have to decide what really matters and fight like hell to keep it. ...more",1,Books,£12.25,£12.25,£0.00,In stock (3 available),0,https://books.toscrape.com/media/cache/c2/9d/c29dbb9c163edb0e885f897063d619f3.jpg,https://books.toscrape.com/catalogue/the-purest-hook-second-circle-tattoos-3_271/index.html
