Название,Категория,UPC (Айди),Описание,Рейтинг,Тип продукта,Цена без налога,Цена с налогом:,Налог,Наличие,Кол-во отзывов,Картинка,Ссылка
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,efc3768127714ec3,,3,Books,£32.00,£32.00,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/39/c7/39c7bebcde5d9643ede71ac8ee87ee69.jpg,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,dd047728de72ad62,"""Without The Artist's Way, there would have been no Eat, Pray, Love.” —Elizabeth GilbertThe Artist’s Way is the seminal book on the subject of creativity. An international bestseller, millions of readers have found it to be an invaluable guide to living the artist’s life. Still as vital today—or perhaps even more so—than it was when it was first published one decade ago, i ""Without The Artist's Way, there would have been no Eat, Pray, Love.” —Elizabeth GilbertThe Artist’s Way is the seminal book on the subject of creativity. An international bestseller, millions of readers have found it to be an invaluable guide to living the artist’s life. Still as vital today—or perhaps even more so—than it was when it was first published one decade ago, it is a powerfully provocative and inspiring work. In a new introduction to the book, Julia Cameron reflects upon the impact of The Artist’s Way and describes the work she has done during the last decade and the new insights into the creative process that she has gained. Updated and expanded, this anniversary edition reframes The Artist’s Way for a new century. ...more",5,Books,£38.49,£38.49,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/3b/41/3b414b6d0340a0cbbd05be0942ddaada.jpg,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
The Art of War,Default,e7469e22b5bfb3e7,"Conflict is an inevitable part of life, according to this ancient Chinese classic of strategy, but everything necessary to deal with conflict wisely, honorably, victoriously, is already present within us. Compiled more than two thousand years ago by a mysterious warrior-philosopher, The Art of War is still perhaps the most prestigious and influential book of strategy in t Conflict is an inevitable part of life, according to this ancient Chinese classic of strategy, but everything necessary to deal with conflict wisely, honorably, victoriously, is already present within us. Compiled more than two thousand years ago by a mysterious warrior-philosopher, The Art of War is still perhaps the most prestigious and influential book of strategy in the world, as eagerly studied in Asia by modern politicians and executives as it has been by military leaders since ancient times. As a study of the anatomy of organizations in conflict, The Art of War applies to competition and conflict in general, on every level from the interpersonal to the international. Its aim is invincibility, victory without battle, and unassailable strength through understanding the physics, politics, and psychology of conflict.(Original publication date was circa 500 BCE.)For an outstanding Kindle edition, please refer to The Art of War by Sun Tzu - Classic Collector's Edition (Shawn Conners, Barton Williams, Lionel Giles, Sian Kim) ...more",5,Books,£33.34,£33.34,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/61/1b/611b527ab7ecef530e3040c85f6602c3.jpg,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html
The Argonauts,Autobiography,c99761a700ade23f,"An intrepid voyage out to the frontiers of the latest thinking about love, language, and family Maggie Nelson's The Argonauts is a genre-bending memoir, a work of ""autotheory"" offering fresh, fierce, and timely thinking about desire, identity, and the limitations and possibilities of love and language. At its center is a romance: the story of the author's relationship with An intrepid voyage out to the frontiers of the latest thinking about love, language, and family Maggie Nelson's The Argonauts is a genre-bending memoir, a work of ""autotheory"" offering fresh, fierce, and timely thinking about desire, identity, and the limitations and possibilities of love and language. At its center is a romance: the story of the author's relationship with the artist Harry Dodge. This story, which includes Nelson's account of falling in love with Dodge, who is fluidly gendered, as well as her journey to and through a pregnancy, offers a firsthand account of the complexities and joys of (queer) family-making.Writing in the spirit of public intellectuals such as Susan Sontag and Roland Barthes, Nelson binds her personal experience to a rigorous exploration of what iconic theorists have said about sexuality, gender, and the vexed institutions of marriage and child-rearing. Nelson's insistence on radical individual freedom and the value of caretaking becomes the rallying cry of this thoughtful, unabashed, uncompromising book. ...more",2,Books,£10.93,£10.93,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/22/d0/22d01c710471f94dabfa41083fa3cf4e.jpg,https://books.toscrape.com/catalogue/the-argonauts_837/index.html
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,56e4f9eab2e8e674,"Choosing between the stability of a traditional career and the upside of entrepreneurship? Why not have both?Becoming a full-time entrepreneur can look glamorous from the outside. Who doesn’t want to chase their dreams, be their own boss, and do what they love? But the truth is that entrepreneurship is often a slog, with no regular hours, no job security, and very little p Choosing between the stability of a traditional career and the upside of entrepreneurship? Why not have both?Becoming a full-time entrepreneur can look glamorous from the outside. Who doesn’t want to chase their dreams, be their own boss, and do what they love? But the truth is that entrepreneurship is often a slog, with no regular hours, no job security, and very little pay.  What if there was a way to have the stability of a day job with the excitement of a startup? All of the benefits of entrepreneurship with none of the pitfalls? In The 10% Entrepreneur, Patrick McGinnis shows you how, by investing just 10% of your time and resources, you can become an entrepreneur without losing a steady paycheck.  McGinnis details a step-by-step plan that takes you from identifying your first entrepreneurial project to figuring out the smartest way to commit resources to it. He shows you how to select and engage in projects that will provide you with upside outside the office while making your better at your day job. He also profiles real-world 10% Entrepreneurs such as...•Luke Holden, a cash-strapped recent college graduate, who started his own lobster-roll empire and oversaw much of its first year of operations, all while working full time in corporate America•Dipali Patwa, a designer and mom whose side project designing and selling infant clothing is now a sensation.•A group of friends who met at a 6am Bible study class and went on to start a brewery that now generates millions in sales . A successful 10% Entrepreneur himself, McGinnis explains the multiple paths you can follow to invest your cash, time, and expertise in a start-up—including as a founder, angel, adviser, or aficionado. Most importantly, you don’t have to have millions in disposable income to become a 10% Entrepreneur. When you put McGinnis’s 10% principles into action, you’ll quickly start racking up small wins, then watch as they snowball into your new (and far more entrepreneurial) life. ...more",3,Books,£27.55,£27.55,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/50/4b/504b1891508614ff9393563f69d66c95.jpg,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html
Suddenly in Love (Lake Haven #1),Romance,203b7f94b7d6115f,"Mia Lassiter is thrilled to finally put her artistic skills to use working for her aunt’s interior design shop in her hometown of East Beach. While renovating an old mansion overlooking stunning Lake Haven, she encounters a scruffy but attractive man named Brennan—the owner’s son. She doesn’t realize this sexy recluse is actually Everett Alden, the world-famous rock star i Mia Lassiter is thrilled to finally put her artistic skills to use working for her aunt’s interior design shop in her hometown of East Beach. While renovating an old mansion overlooking stunning Lake Haven, she encounters a scruffy but attractive man named Brennan—the owner’s son. She doesn’t realize this sexy recluse is actually Everett Alden, the world-famous rock star in hiding who’s nursing his own artistic and personal crises.As their personalities clash, tension simmers between the struggling artist and jaded musician, and their time spent alone together in the gorgeous old house only serves to turn up the heat. Soon, Mia and Brennan’s creative passions boil over to inspire passions of another kind…But reality comes crashing in when Mia’s celeb-obsessed cousin discovers Brennan’s true identity—and reveals it to the world. As paparazzi swarm the mansion, Brennan is thrust back into his rock star lifestyle. Will Mia lose her soul mate just when she’s finally found him? Can their love survive the glaring spotlight? ...more",2,Books,£55.99,£55.99,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/58/bb/58bb81b052b6ad90adcd57e95da99a50.jpg,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,Romance,ca71e72655bece85,"Katy Lewis has it all: a sports reporting job she loves, a great roommate, and two brothers who, while nosy, always have her back. But when Conner Roberts, Katy’s unrequited first crush, suddenly shows up—and shows interest—after nine years, she reverts to a sweaty, panicked sixteen-year-old once more.And if trying to read Conner’s signals isn’t tough enough, Katy’s heart Katy Lewis has it all: a sports reporting job she loves, a great roommate, and two brothers who, while nosy, always have her back. But when Conner Roberts, Katy’s unrequited first crush, suddenly shows up—and shows interest—after nine years, she reverts to a sweaty, panicked sixteen-year-old once more.And if trying to read Conner’s signals isn’t tough enough, Katy’s heart is sending some mixed messages of its own. When a beautiful blonde coworker starts pursuing Katy’s boss, Dylan Sterling—her longtime mentor and friend—she realizes she may have a problem with that. A reunion with Conner is what she’s dreamed of for so long…so why can’t she stop thinking about Dylan?For the first time ever, Katy must fact-check her heart. Should she go after the guy she thought she always wanted or see if there’s something more with the one who’s been there all along? ...more",4,Books,£16.24,£16.24,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/b8/f9/b8f9e0169c3811f9ed145c3824208de6.jpg,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Soft Apocalypse,Science Fiction,2a70769cdc6eb8b8,"What happens when resources become scarce and society starts to crumble? As the competition for resources pulls America's previously stable society apart, the ""New Normal"" is a Soft Apocalypse. This is how our world ends; with a whimper instead of a bang. New social structures and tribal connections spring up across America, as the previous social structures begin to disso What happens when resources become scarce and society starts to crumble? As the competition for resources pulls America's previously stable society apart, the ""New Normal"" is a Soft Apocalypse. This is how our world ends; with a whimper instead of a bang. New social structures and tribal connections spring up across America, as the previous social structures begin to dissolve. Locus Award finalist and John W. Campbell Memorial Award finalist Soft Apocalypse follows the journey across the Southeast of a tribe of formerly middle class Americans as they struggle to find a place for themselves and their children in a new, dangerous world that still carries the ghostly echoes of their previous lives.Skyhorse Publishing, under our Night Shade and Talos imprints, is proud to publish a broad range of titles for readers interested in science fiction (space opera, time travel, hard SF, alien invasion, near-future dystopia), fantasy (grimdark, sword and sorcery, contemporary urban fantasy, steampunk, alternative history), and horror (zombies, vampires, and the occult and supernatural), and much more. While not every title we publish becomes a New York Times bestseller, a national bestseller, or a Hugo or Nebula award-winner, we are committed to publishing quality books from a diverse group of authors. ...more",2,Books,£26.12,£26.12,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/61/ca/61ca5ab6bc514b9527af9f805fa03c31.jpg,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html
So You've Been Publicly Shamed,Nonfiction,1b33663ad7b95fd8,"For the past three years, Jon Ronson has traveled the world meeting recipients of high-profile public shamings. The shamed are people like us, people who, say, made a joke on social media that came out badly or made a mistake at work. Once the transgression is revealed, collective outrage circles with the force of a hurricane and the next thing they know, they're being tor For the past three years, Jon Ronson has traveled the world meeting recipients of high-profile public shamings. The shamed are people like us, people who, say, made a joke on social media that came out badly or made a mistake at work. Once the transgression is revealed, collective outrage circles with the force of a hurricane and the next thing they know, they're being torn apart by an angry mob, jeered at, demonized, sometimes even fired from their job.A great renaissance of public shaming is sweeping our land. Justice has been democratized. The silent majority are getting a voice, but what are we doing with our voice? We are mercilessly finding people's faults. We are defining the boundaries of normality by ruining the lives of those outside it. We are using shame as a form of social control.Simultaneously powerful and hilarious in the way only Jon Ronson can be, So You've Been Publicly Shamed is a deeply honest book about modern life, full of eye-opening truths about the escalating war on human flaws and the very scary part we all play in it. ...more",2,Books,£12.23,£12.23,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/9d/15/9d150a1d5832bb9e3b82bbc1541912d6.jpg,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
Shoe Dog: A Memoir by the Creator of NIKE,Business,0e0dcc3339602b28,"In this candid and riveting memoir, for the first time ever, Nike founder and CEO Phil Knight shares the inside story of the company’s early days as an intrepid start-up and its evolution into one of the world’s most iconic, game-changing, and profitable brands.In 1962, fresh out of business school, Phil Knight borrowed $50 from his father and created a company with a simp In this candid and riveting memoir, for the first time ever, Nike founder and CEO Phil Knight shares the inside story of the company’s early days as an intrepid start-up and its evolution into one of the world’s most iconic, game-changing, and profitable brands.In 1962, fresh out of business school, Phil Knight borrowed $50 from his father and created a company with a simple mission: import high-quality, low-cost athletic shoes from Japan. Selling the shoes from the trunk of his lime green Plymouth Valiant, Knight grossed $8,000 his first year. Today, Nike’s annual sales top $30 billion. In an age of startups, Nike is the ne plus ultra of all startups, and the swoosh has become a revolutionary, globe-spanning icon, one of the most ubiquitous and recognizable symbols in the world today.But Knight, the man behind the swoosh, has always remained a mystery. Now, for the first time, in a memoir that is candid, humble, gutsy, and wry, he tells his story, beginning with his crossroads moment. At 24, after backpacking around the world, he decided to take the unconventional path, to start his own business—a business that would be dynamic, different.Knight details the many risks and daunting setbacks that stood between him and his dream—along with his early triumphs. Above all, he recalls the formative relationships with his first partners and employees, a ragtag group of misfits and seekers who became a tight-knit band of brothers. Together, harnessing the transcendent power of a shared mission, and a deep belief in the spirit of sport, they built a brand that changed everything. ...more",2,Books,£23.99,£23.99,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/fc/21/fc21d144c7289e5b1cb133e01a925126.jpg,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html
