Тематика,Текст обращения,Количество комментариев,Количество репостов
Здравоохранение,,61,50
Здравоохранение,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,92,43
Культура,"Транспорт ходит с большими задержками, особенно в вечернее время.",14,43
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,94,28
Безопасность,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",77,5
Безопасность,,9,31
ЖКХ,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",11,3
Образование,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",3,21
Образование,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",89,44
Спорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,85,27
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",86,17
Экология,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,46,200
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",3,37
Безопасность,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",86,1
Транспорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",27,7
Безопасность,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",0,39
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",9,44
Благоустройство,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",24,200
Экология,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",95,36
Здравоохранение,,49,39
Экология,,64,20
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,45,19
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,25,3
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",85,32
Образование,Погибли бездомные животные из-за отравления. Кто отвечает за это?,63,10
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,50,39
Экология,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",3,9
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",78,42
Благоустройство,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",79,26
Безопасность,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,3,45
ЖКХ,Примите меры! В школе не хватает учебников для учеников 7-х классов.,82,35
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",77,30
ЖКХ,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,22,2
Социальная поддержка,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",15,24
Безопасность,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,66,24
Здравоохранение,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",46,32
Образование,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,36,11
Экология,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",200,19
Экология,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",42,43
Социальная поддержка,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",72,19
Экология,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",79,12
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,31,45
Культура,Погибли бездомные животные из-за отравления. Кто отвечает за это?,100,43
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",91,150
Благоустройство,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",84,42
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",68,26
ЖКХ,"Транспорт ходит с большими задержками, особенно в вечернее время.",39,29
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,55,35
Благоустройство,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",35,13
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,95,49
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,7,28
Образование,"Транспорт ходит с большими задержками, особенно в вечернее время.",74,24
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",92,41
Спорт,,10,28
Благоустройство,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,57,24
Социальная поддержка,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",29,47
Образование,Погибли бездомные животные из-за отравления. Кто отвечает за это?,52,30
Здравоохранение,,70,43
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",60,9
Спорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",86,23
Здравоохранение,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",100,20
Культура,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",93,45
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",40,100
Экология,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",47,24
Благоустройство,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",94,27
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,2,4
Культура,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",65,11
Культура,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,57,11
Экология,,31,17
ЖКХ,"Транспорт ходит с большими задержками, особенно в вечернее время.",78,7
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",14,46
Культура,,21,23
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",1,1
Безопасность,,19,2
Социальная поддержка,,35,200
Социальная поддержка,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",65,24
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",300,50
Образование,Примите меры! В школе не хватает учебников для учеников 7-х классов.,76,38
Образование,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",35,18
Благоустройство,Примите меры! В школе не хватает учебников для учеников 7-х классов.,40,2
Спорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",45,20
ЖКХ,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",10,39
ЖКХ,,92,17
Культура,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",62,35
Социальная поддержка,Погибли бездомные животные из-за отравления. Кто отвечает за это?,5,7
Социальная поддержка,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,40,7
Транспорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",150,47
Образование,Примите меры! В школе не хватает учебников для учеников 7-х классов.,0,29
Благоустройство,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",24,9
Транспорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",97,41
Транспорт,,16,2
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,54,12
Транспорт,,89,17
Спорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,93,3
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,16,21
ЖКХ,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,94,15
ЖКХ,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",61,42
Безопасность,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",51,36
Образование,Погибли бездомные животные из-за отравления. Кто отвечает за это?,29,9
Экология,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",29,37
Здравоохранение,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,0,39
Безопасность,Примите меры! В школе не хватает учебников для учеников 7-х классов.,17,29
Безопасность,,65,1
Образование,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,57,8
Спорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,46,24
Социальная поддержка,Погибли бездомные животные из-за отравления. Кто отвечает за это?,28,5
Образование,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",8,14
Культура,,50,48
Экология,Погибли бездомные животные из-за отравления. Кто отвечает за это?,49,4
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",24,45
Здравоохранение,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",93,16
Благоустройство,Погибли бездомные животные из-за отравления. Кто отвечает за это?,200,100
Социальная поддержка,Примите меры! В школе не хватает учебников для учеников 7-х классов.,24,8
Транспорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",21,25
Спорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,9,34
Транспорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",46,50
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",23,13
Благоустройство,Погибли бездомные животные из-за отравления. Кто отвечает за это?,11,43
Экология,,94,48
,Примите меры! В школе не хватает учебников для учеников 7-х классов.,77,3
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,76,23
Транспорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",44,24
Безопасность,Примите меры! В школе не хватает учебников для учеников 7-х классов.,41,18
Культура,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",77,35
Культура,"Транспорт ходит с большими задержками, особенно в вечернее время.",96,36
Транспорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",99,9
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",28,32
