Тематика,Текст обращения,Количество комментариев,Количество репостов
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,92,43
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,14,43
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,94,28
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,77,5
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,11,3
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,3,21
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,89,44
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,85,27
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,86,17
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,46,200
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,3,37
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,86,1
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,27,7
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,0,39
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,9,44
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,24,200
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,95,36
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,45,19
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,25,3
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,85,32
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,63,10
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,50,39
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,3,9
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,78,42
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,79,26
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,3,45
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,82,35
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,77,30
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,22,2
