Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
Japan,2018,Prepared Food,29800.32,26749.98,115.49,1134.61,60.36
Saudi Arabia,2024,Dairy Products,12250.67,14096.2,167.43,278.51,32.25
France,2024,Dairy Products,45066.06,49348.46,145.63,1298.84,47.08
Mexico,2024,Dairy Products,23080.87,20864.58,81.56,581.19,59.94
Mexico,2022,Prepared Food,25266.57,29103.97,23.08,365.87,30.77
South Korea,2020,Frozen Food,28400.85,25628.63,148.97,72.19,47.92
Mexico,2018,Prepared Food,44970.63,42041.63,86.21,456.5,37.16
Canada,2024,Fruits & Vegetables,28461.83,24132.13,86.06,1246.6,56.4
Saudi Arabia,2023,Prepared Food,10271.44,10902.15,130.23,342.36,59.77
China,2020,Grains & Cereals,17673.4,21146.85,194.93,1373.6,42.92
South Korea,2019,Fruits & Vegetables,7439.96,6975.64,65.91,924.32,45.12
Spain,2019,Dairy Products,42902.4,40219.21,161.36,955.17,62.19
Russia,2022,Beverages,33284.79,28126.49,138.45,1113.87,64.06
Japan,2019,Prepared Food,1838.52,2179.56,87.52,380.11,62.3
Germany,2024,Meat & Seafood,10328.38,9680.69,113.97,113.64,50.43
India,2021,Dairy Products,43995.32,42065.42,196.01,549.16,59.65
Spain,2022,Frozen Food,10883.89,,77.59,687.98,39.44
Argentina,2018,Beverages,30869.97,27152.97,81.0,637.93,53.46
Argentina,2024,Prepared Food,23781.08,20518.47,95.72,220.58,62.52
Japan,2020,Grains & Cereals,40204.59,43618.55,21.08,1051.82,47.65
Italy,2024,Meat & Seafood,47405.16,51124.55,107.4,882.89,35.94
South Korea,2022,Prepared Food,12137.82,10808.48,85.69,327.26,50.77
Turkey,2023,Bakery Items,23215.07,23317.07,195.51,669.66,35.83
Japan,2018,Bakery Items,27534.23,29110.52,162.58,693.46,69.77
India,2019,Bakery Items,36484.75,42175.62,146.08,82.67,57.94
USA,2020,Dairy Products,14176.85,11752.96,20.2,1152.62,40.84
Germany,2020,Dairy Products,23151.0,22695.55,151.32,361.5,58.35
Germany,2023,Dairy Products,39760.39,38052.74,70.24,841.5,41.85
Russia,2024,Meat & Seafood,45746.48,52728.75,75.63,,50.13
UK,2020,Fruits & Vegetables,48896.07,42855.11,75.11,483.41,52.11
South Korea,2024,Fruits & Vegetables,37078.59,39001.29,59.38,137.16,36.34
Germany,2022,Bakery Items,18850.26,18542.54,167.04,946.56,67.68
Russia,2022,Dairy Products,41031.17,41606.0,198.76,1379.01,39.85
Spain,2022,Fruits & Vegetables,34773.59,38031.52,147.56,665.77,31.45
Indonesia,2024,Dairy Products,16939.91,16626.25,173.64,222.19,62.43
Saudi Arabia,2024,Bakery Items,40280.76,45344.83,141.42,607.47,54.25
India,2018,Frozen Food,1560.32,1255.34,145.83,47.12,57.35
India,2018,Frozen Food,47617.94,39530.96,197.97,157.1,62.59
South Korea,2021,Prepared Food,13833.6,14947.19,193.72,762.08,67.73
Turkey,2021,Beverages,30834.13,26750.37,86.68,160.97,34.15
South Africa,2020,Grains & Cereals,16525.23,19370.05,140.2,129.37,67.57
India,2022,Beverages,8007.28,9495.3,103.7,109.77,58.37
Japan,2018,Grains & Cereals,29883.47,26779.8,65.22,442.64,65.09
Argentina,2020,Prepared Food,8933.08,8058.58,118.63,96.65,64.56
Spain,2019,Prepared Food,20260.04,18393.6,116.36,1054.0,51.2
UK,2022,Bakery Items,11966.64,13301.59,115.83,915.51,31.98
Canada,2024,Prepared Food,9355.97,9822.33,86.16,1361.33,42.61
Australia,2024,Fruits & Vegetables,33383.46,31641.85,179.15,700.52,42.09
India,2018,Dairy Products,2912.85,2730.0,143.47,368.9,36.11
India,2023,Beverages,41053.02,45487.65,157.25,886.32,57.9
Japan,2021,Beverages,45793.5,41233.0,179.37,1161.63,33.16
Mexico,2018,Meat & Seafood,20604.34,23257.47,31.88,412.45,67.53
Argentina,2021,Grains & Cereals,33487.17,37702.25,86.33,1025.88,30.78
Saudi Arabia,2023,Meat & Seafood,29863.47,33995.1,180.59,448.42,48.87
Italy,2020,Bakery Items,20053.87,20908.91,146.93,1028.94,65.32
Argentina,2019,Frozen Food,4023.38,3768.31,110.69,1141.3,65.88
Mexico,2022,Fruits & Vegetables,28403.53,31672.29,99.03,11.58,55.44
Japan,2018,Meat & Seafood,19376.12,20946.42,29.3,771.35,67.52
South Korea,2024,Bakery Items,47238.43,44081.88,48.9,280.32,63.51
Australia,2019,Meat & Seafood,19096.71,18273.39,128.92,481.02,62.67
Germany,2018,Bakery Items,26312.21,26865.16,32.4,726.21,59.77
South Korea,2019,Dairy Products,27169.15,29606.45,61.48,75.55,54.86
Russia,2024,Frozen Food,8352.67,9536.98,27.32,1063.02,31.35
Turkey,2020,Beverages,16449.71,13204.62,70.6,397.0,61.27
Indonesia,2021,Beverages,23043.63,22714.51,167.69,477.21,56.08
Indonesia,2020,Frozen Food,39840.28,41819.35,42.2,1102.36,55.79
Indonesia,2023,Bakery Items,32291.89,28109.53,128.13,647.42,40.17
Saudi Arabia,2022,Grains & Cereals,25689.2,27161.16,190.25,722.25,41.02
Japan,2024,Prepared Food,7236.25,5985.85,112.63,41.66,37.49
Australia,2018,Bakery Items,13304.77,14606.84,73.11,1051.66,31.58
Italy,2023,Fruits & Vegetables,30875.29,31341.6,198.26,349.04,52.64
Indonesia,2024,Bakery Items,15180.87,17081.77,27.43,805.85,68.04
Saudi Arabia,2019,Prepared Food,31970.21,29382.42,46.54,848.07,62.12
USA,2024,Bakery Items,14150.56,13191.58,188.36,1066.05,64.5
Italy,2021,Beverages,26268.93,30109.97,78.2,621.46,33.76
China,2019,Prepared Food,26698.82,23943.29,164.01,1267.25,44.77
Spain,2021,Frozen Food,41721.49,41115.12,24.6,567.16,44.66
Germany,2021,Meat & Seafood,49843.31,53122.46,182.65,1184.54,34.76
India,2023,Bakery Items,11040.53,11278.52,83.92,172.33,64.77
Germany,2018,Frozen Food,35026.38,39926.44,190.84,453.26,52.53
Spain,2023,Prepared Food,30414.62,36451.49,85.7,20.58,40.79
USA,2023,Dairy Products,1350.66,1486.33,126.25,916.87,45.74
France,2021,Prepared Food,24451.1,26741.6,101.72,469.1,59.24
France,2023,Bakery Items,13901.18,11299.59,64.06,21.9,66.77
India,2021,Bakery Items,42115.49,46090.93,38.7,1398.61,47.55
Saudi Arabia,2020,Meat & Seafood,6000.35,6335.63,119.75,936.97,47.09
Saudi Arabia,2023,Dairy Products,39089.47,43319.68,146.0,1208.04,54.47
Argentina,2019,Fruits & Vegetables,21160.88,23556.19,101.92,575.84,43.37
Brazil,2018,Bakery Items,23891.65,20701.81,99.24,,58.82
Canada,2021,Beverages,29725.21,25214.94,193.35,704.82,50.22
Russia,2023,Beverages,8127.36,6730.21,21.22,481.47,44.69
Italy,2022,Beverages,13803.0,12865.32,185.07,957.42,66.26
Brazil,2020,Bakery Items,49248.91,39514.66,147.31,1261.9,57.8
Italy,2021,Grains & Cereals,40825.3,44057.3,158.6,391.2,37.02
Argentina,2023,Fruits & Vegetables,31350.95,34430.63,167.05,15.95,58.55
Turkey,2021,Meat & Seafood,32933.1,26687.76,174.87,367.32,45.48
India,2020,Dairy Products,20766.62,23062.53,112.41,648.6,30.35
China,2023,Meat & Seafood,32497.32,33166.68,155.52,99.24,44.86
Spain,2020,Meat & Seafood,9550.41,8401.62,47.94,1007.12,44.35
China,2018,Grains & Cereals,47749.55,39099.53,188.54,359.58,43.16
Spain,2019,Grains & Cereals,24795.75,23650.69,27.32,496.57,66.55
Turkey,2018,Grains & Cereals,41542.82,33637.17,53.74,1311.01,41.08
Turkey,2019,Prepared Food,44554.35,43230.52,27.55,48.05,65.45
Canada,2020,Beverages,4305.11,3922.57,80.74,1165.92,50.27
Australia,2019,Dairy Products,35160.21,41400.4,99.21,27.53,52.34
Canada,2020,Bakery Items,33111.42,39369.7,164.91,230.96,51.22
Saudi Arabia,2020,Grains & Cereals,44350.27,39802.94,44.29,18.61,53.51
China,2024,Beverages,39979.18,45547.1,57.75,615.36,59.99
Indonesia,2022,Meat & Seafood,15955.86,,41.11,1178.63,62.6
China,2021,Frozen Food,30637.42,25279.55,174.6,1027.22,66.37
South Korea,2020,Fruits & Vegetables,43384.58,35806.13,30.81,1190.11,67.24
UK,2023,Prepared Food,6158.59,5344.53,52.96,271.03,39.15
Germany,2019,Prepared Food,39516.23,43657.2,83.82,241.94,42.42
Saudi Arabia,2021,Beverages,7398.36,6727.97,154.96,,64.47
Argentina,2018,Frozen Food,35181.49,38177.3,179.61,1179.74,50.88
China,2023,Prepared Food,24201.12,25444.62,149.36,880.91,35.58
South Korea,2023,Fruits & Vegetables,33972.57,38497.82,178.06,385.75,32.3
Canada,2019,Beverages,37390.07,36986.97,53.46,928.69,56.13
Saudi Arabia,2018,Dairy Products,19708.26,23587.81,133.24,1181.09,53.13
France,2018,Frozen Food,36547.58,31061.02,53.5,680.03,37.6
USA,2020,Fruits & Vegetables,33216.95,33519.19,190.22,454.98,63.56
South Africa,2018,Bakery Items,19247.18,19077.03,42.72,682.76,47.08
Turkey,2020,Fruits & Vegetables,37498.56,37175.4,140.93,1370.54,41.44
Indonesia,2021,Prepared Food,8407.16,9735.68,45.43,1090.18,43.0
France,2024,Dairy Products,10300.52,11104.21,62.1,1315.28,49.86
UK,2022,Bakery Items,3179.96,2720.75,73.39,1042.55,62.84
Brazil,2020,Bakery Items,18128.42,16756.25,104.88,430.89,53.27
UK,2021,Prepared Food,2385.3,2575.0,81.73,340.76,31.4
Indonesia,2018,Meat & Seafood,12286.86,12617.84,88.18,1124.78,47.15
UK,2018,Meat & Seafood,45513.32,41588.01,33.52,1267.31,64.9
UK,2018,Prepared Food,28645.81,24791.78,57.39,1319.39,45.58
UK,2019,Beverages,45581.29,37684.56,29.71,394.29,61.63
Spain,2020,Prepared Food,7673.38,6152.46,144.15,537.14,48.93
Brazil,2018,Fruits & Vegetables,9322.17,11179.24,153.62,900.87,41.75
Canada,2019,Bakery Items,13508.24,15870.96,175.87,481.19,37.14
Saudi Arabia,2021,Frozen Food,23526.64,23209.94,87.44,1162.65,52.83
France,2020,Dairy Products,34539.59,38087.67,147.33,426.08,56.98
Canada,2023,Prepared Food,16069.8,16316.85,42.72,1354.29,54.06
Germany,2019,Fruits & Vegetables,45407.23,41091.54,121.71,1285.63,60.85
Mexico,2022,Bakery Items,16359.0,17432.88,197.08,525.36,49.28
Saudi Arabia,2022,Bakery Items,34878.89,28723.34,109.99,1393.23,42.47
USA,2022,Frozen Food,22874.2,19013.91,128.93,952.95,56.07
Canada,2023,Meat & Seafood,35565.43,32461.74,165.87,286.81,65.95
Russia,2023,Bakery Items,38587.95,36062.72,27.36,346.48,58.68
Russia,2022,Bakery Items,7681.12,8210.6,126.49,957.91,55.71
Indonesia,2021,Frozen Food,33260.09,27667.81,111.38,1389.54,49.16
India,2023,Beverages,23087.01,27030.78,78.16,424.13,54.91
Saudi Arabia,2021,Meat & Seafood,17589.93,17704.92,55.11,730.32,41.58
South Africa,2022,Beverages,33231.3,33766.93,113.61,1232.97,50.24
Italy,2024,Prepared Food,18217.73,16015.02,155.48,105.41,57.31
Turkey,2021,Beverages,41606.09,46877.29,187.42,213.05,54.64
South Africa,2021,Meat & Seafood,14380.68,15473.8,113.4,307.45,45.62
South Korea,2024,Meat & Seafood,31221.6,,162.65,574.63,64.48
Japan,2020,Fruits & Vegetables,27461.24,32352.81,196.66,1067.42,68.78
Spain,2023,Dairy Products,19324.44,22476.63,132.93,131.5,32.01
South Africa,2023,Fruits & Vegetables,47213.86,55320.76,20.09,996.68,66.23
France,2018,Dairy Products,37398.57,30512.12,74.16,976.51,44.31
Italy,2021,Meat & Seafood,23379.55,21260.31,97.11,1086.35,56.15
UK,2021,Fruits & Vegetables,24046.92,22580.75,46.84,26.69,36.81
Indonesia,2020,Meat & Seafood,6085.28,5685.71,95.93,219.51,58.97
South Korea,2020,Bakery Items,6408.0,6276.8,,731.31,64.21
Brazil,2024,Grains & Cereals,4554.03,4992.48,27.3,1104.7,45.99
Saudi Arabia,2018,Meat & Seafood,14921.82,13296.06,135.68,136.38,37.51
India,2023,Fruits & Vegetables,20208.42,19286.57,182.45,1016.39,48.33
UK,2019,Meat & Seafood,14795.65,14346.97,128.91,450.33,59.01
Indonesia,2021,Dairy Products,49439.9,52836.52,94.15,237.99,52.97
China,2021,Bakery Items,1116.5,1142.63,46.69,1295.29,37.5
China,2018,Fruits & Vegetables,39189.88,31790.93,130.79,81.49,55.08
China,2024,Dairy Products,41094.36,42324.94,81.2,760.09,61.26
Mexico,2021,Prepared Food,37107.01,30234.05,177.34,603.56,53.13
Canada,2024,Fruits & Vegetables,20440.62,20123.5,195.15,139.24,33.39
South Korea,2021,Grains & Cereals,29871.2,31874.06,58.5,,58.85
Indonesia,2022,Frozen Food,2307.08,1887.99,73.51,26.91,59.31
South Africa,2018,Prepared Food,8152.32,7400.81,138.08,1378.44,34.37
Canada,2020,Bakery Items,40262.79,41152.89,58.15,816.23,52.71
Italy,2020,Meat & Seafood,24587.1,22971.14,154.22,931.39,35.92
South Africa,2021,Beverages,22881.09,20935.23,184.63,657.99,31.35
Indonesia,2023,Fruits & Vegetables,18031.41,19215.43,85.46,365.47,36.96
Germany,2023,Prepared Food,34123.41,28542.1,98.44,1087.99,42.48
Turkey,2023,Prepared Food,46501.82,45442.62,109.76,23.36,64.43
Turkey,2020,Bakery Items,6622.48,6811.8,21.41,693.34,50.07
Saudi Arabia,2023,Bakery Items,9972.79,8508.79,62.35,1286.68,48.2
France,2020,Dairy Products,6103.15,5286.27,105.48,998.77,44.34
UK,2018,Fruits & Vegetables,45708.36,44083.59,26.57,799.74,61.48
Japan,2020,Bakery Items,11071.57,12338.73,142.21,52.39,43.07
Germany,2022,Prepared Food,5379.46,6107.14,48.99,1088.12,45.81
Canada,2019,Fruits & Vegetables,35769.23,42188.36,44.51,75.0,37.39
South Africa,2024,Meat & Seafood,13361.44,12970.16,27.01,609.6,31.72
Indonesia,2020,Meat & Seafood,32901.64,28886.13,191.65,1056.51,51.32
Germany,2019,Prepared Food,18780.16,17208.3,174.68,708.17,42.37
South Korea,2022,Fruits & Vegetables,20115.81,21021.75,124.74,33.52,60.25
