Учебное заведение,Город,Год участия,Максимальный балл за все задания,Максимальный балл за теоретическое задание,Максимальный балл за практическое задание,Количество участников,Пол,Количество победителей,Количество призеров,Максимальный балл участника за оба задания,Теоретическое тестирование,Максимальный балл участника за практическое задание,Анализ информационных моделей,Поиск информации в реляционных базах данных,Кодирование и декодирование информации,Определение результатов работы алгоритмов,Работа с таблицами,Поиск символов в текстовом редакторе,Организация компьютерных сетей. Адресация,Программирование,Безопасность данных
Альметьевский медицинский колледж,Альметьевск,2022,100,30,40,2,м,0.0,,58.23732674736387,14.677804489375784,32.97607612840837,7.987120388800221,5.685029408745235,9.549222404903933,6.095762723307045,4.917477248672607,8.124166223143984,6.483226763602476,8.35346472774449,8.24788604224804
Казанский педагогический колледж,Казань,2021,100,50,50,0,,,,,,,,,,,,,,,
Набережночелнинский строительный колледж,Набережные Челны,2020,60,40,50,3,ж,1.0,1.0,49.73348933181417,29.247163977983355,32.18531913323751,3.0078667445459386,3.630024850167172,3.7592884743052846,2.247537111237386,5.442197119995893,7.861815895310223,4.454303415993541,5.283094619976868,3.2975807531767227
Казанский педагогический колледж,Казань,2018,80,50,50,4,м,4.0,4.0,71.63502870430143,30.755325276968367,27.319274522395027,5.892713198627393,2.842365995912469,8.351899219411663,2.6215864623102405,5.7509216337076525,9.692009122872136,2.0986142833100025,6.628551703755364,7.847428905490005
Набережночелнинский машиностроительный техникум,Набережные Челны,2019,60,50,30,5,м,0.0,,49.944444411056665,35.85699167360675,13.80069674948251,8.902152351649857,4.098511772717945,5.101494363220428,2.6406595160224287,3.719976563077015,3.8080292372658793,5.421612001266309,4.62786924642418,5.960002069459734
Набережночелнинский машиностроительный техникум,Набережные Челны,2024,60,30,50,4,м,3.0,3.0,50.883265382277244,10.252281904605953,36.84990849108199,2.0144132686137093,6.293099738487813,9.243899513885893,9.872435782802782,6.885187207651982,2.128955487034495,9.243377024794285,6.7115718996667795,7.4083721155948945
Альметьевский политехнический колледж,Альметьевск,2024,100,30,30,2,ж,0.0,,92.28797583405492,27.21343995697833,28.07679019560609,7.920543429613032,4.187914934385543,7.347507255963318,6.254268288578903,9.999171566205707,3.6821190045917946,4.409560038899716,9.717399608188266,8.494296834194976
Чистопольский сельскохозяйственный техникум,Чистополь,2023,60,40,50,2,м,0.0,,42.24802472858485,14.431808593909242,15.721621087538091,4.612964082880511,7.802816891214054,4.5174991364317,8.932806328190374,4.805690755587875,7.594859381874972,3.5768085044228526,5.637139341962374,5.982832569878384
Казанский аграрный колледж,Казань,2022,80,40,30,5,м,0.0,,71.06497982722291,35.882752011919706,16.830066550812333,6.761703784749167,3.526623187820708,3.5705400909915133,6.56320349458074,7.5602138467024,6.036661305269218,9.440280438588115,3.7405254777679993,5.782434046817384
Чистопольский сельскохозяйственный техникум,Чистополь,2021,100,50,50,2,м,1.0,0.0,53.71680045063901,38.61579649274959,49.218871189268796,2.422648354737496,8.433010682239583,2.4194322983164813,9.307836456831145,6.30676070767863,8.304651516202327,9.020944623950154,9.092572438517156,5.477755067442594
Альметьевский политехнический колледж,Альметьевск,2024,80,40,30,2,ж,0.0,,65.46475632362983,10.557871616422656,18.714187837200267,9.715094618885676,7.7719903635423195,4.712603449550687,8.089993471368008,6.805900774172685,5.972423916830709,8.468819790466263,6.10105107134756,8.024913819895945
Казанский колледж технологий и дизайна,Казань,2018,80,30,50,3,м,0.0,,65.73084648984144,13.253208490555018,37.70842811895926,5.802784748863548,5.7898431193606,9.628770747374624,8.6303392618101,6.34111333513841,9.457769521536097,6.900470547544435,2.8008464616331796,5.100025273966694
Альметьевский государственный нефтяной институт,Альметьевск,2022,60,30,30,4,м,4.0,3.0,59.07668630829811,20.81707152053616,24.971321479026642,5.447975281313901,4.525421948249061,7.4647124672971445,7.4360418665014185,8.562369169877766,9.516901809808822,4.914138131833908,7.122186958875608,5.444628547804781
Казанский авиационно-технический колледж,Казань,2018,100,40,50,1,м,1.0,1.0,49.337155679658046,15.76108200748676,41.13676504720652,9.71375074668937,7.76943031829441,9.640372728898669,9.419143474464844,6.260927943085742,7.080965492621565,3.1386916323856013,9.350479595777287,4.211040672485228
Чистопольский механический колледж,Чистополь,2023,100,50,30,0,,,,,,,,,,,,,,,
Альметьевский политехнический колледж,Альметьевск,2019,80,50,40,5,м,4.0,1.0,38.89588148075681,34.65373986795046,31.73167037734902,4.610518058088953,4.634947772810599,3.1249738124841535,2.1856169158618766,9.763903002158775,6.743638616693915,6.610813962931831,4.77059791379739,7.079117435966769
Набережночелнинский машиностроительный техникум,Набережные Челны,2022,60,30,50,3,ж,0.0,,38.73199666726564,28.09605668345334,10.328358692089115,6.270653811623518,6.5368760194080595,5.117347335238367,5.1125020632419,7.173649548154499,8.89241188608391,4.923445167600142,3.917314400089939,8.948487563955512
Альметьевский политехнический колледж,Альметьевск,2024,80,40,50,0,,,,,,,,,,,,,,,
Казанский колледж информационных технологий,Казань,2020,60,40,40,3,м,0.0,,50.099459964050254,39.48380596963625,27.19949383110834,6.516736345686335,3.2946547725935753,4.409711461787224,4.6704794025104155,2.534814277805866,6.66177362415088,7.085928489823749,6.340965298006658,7.803833111264666
Чистопольский механический колледж,Чистополь,2024,60,50,40,3,м,3.0,3.0,30.936352749458376,13.560693577964509,31.00032521347382,9.855375512927697,2.397943206435701,4.707204767119581,9.874860090149213,3.986279841446084,4.523150440578579,6.695152962793794,4.744503435956895,5.700363808031259
Альметьевский политехнический колледж,Альметьевск,2019,60,30,50,1,м,0.0,,38.613499981359524,16.676572777225523,46.35773621190628,9.507641390118543,5.032379455875403,2.0279878720702316,5.407017435389324,3.06054530747788,6.37043286366753,4.085805532526858,2.4250760361312276,8.761917123462553
Казанский авиационно-технический колледж,Казань,2018,60,30,50,4,м,0.0,,59.10340729288663,10.425850602987534,27.576654730772905,9.672222011374378,3.1182291414747825,2.363082405807022,7.2881518935578375,4.24120683392825,3.665189114198749,2.171995747703396,7.230780348292459,4.9975723591516505
Набережночелнинский строительный колледж,Набережные Челны,2021,60,40,40,5,м,3.0,3.0,51.61755835217974,30.948185911745156,16.704774210057465,5.783382319055203,5.949718497518144,3.625447733981889,4.960685548903648,8.755300518816988,4.994398743988279,6.627931355867238,2.7584117285925407,4.46927728074754
Казанский колледж информационных технологий,Казань,2024,80,40,50,3,м,1.0,0.0,30.641334350675226,30.879074245807807,38.1710778760939,4.686409265916809,3.85000625944971,8.896311360936265,9.02487847828213,6.476883962307507,6.7446501846882,7.754123238354167,7.9713910775949985,2.420478738163851
Альметьевский медицинский колледж,Альметьевск,2018,80,50,40,1,м,1.0,1.0,43.649138801073995,24.79596231690289,12.216734695071885,8.262824432552232,5.000989438263576,6.228382502115276,2.348638472881307,3.8392230645437584,6.525273966365554,8.517781920039674,6.173964001307681,7.0960266939082
Альметьевский медицинский колледж,Альметьевск,2023,80,50,50,0,,,,,,,,,,,,,,,
Альметьевский государственный нефтяной институт,Альметьевск,2020,80,50,50,1,ж,1.0,0.0,52.546669109942435,42.43452981279943,10.137507454678785,6.82188456556543,8.320939097602043,9.35078824405328,5.73390883828974,3.7147642207870097,3.818619874967089,8.554502335696494,7.477709572158894,8.909743460410844
