Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Балтаси,Муниципальный,2018,388,50,,83.03
Чистополь,Муниципальный,2024,417,63,15.11,91.38
Арск,Заключительный,2021,95,31,32.63,
Менделеевск,Заключительный,2019,53,20,37.74,85.13
Азнакаево,Школьный,2019,4335,1142,26.34,
Апастово,Муниципальный,2018,416,75,18.03,
Мамадыш,Заключительный,2015,30,6,20.0,76.58
Казань,Региональный,2020,56,16,28.57,0.0
Бавлы,Школьный,2016,3875,1078,,
Лениногорск,Заключительный,2024,41,6,14.63,50.54
Набережные Челны,Муниципальный,2015,311,73,23.47,70.29
Буинск,Региональный,2017,478,67,14.02,76.7
Чистополь,Школьный,2017,3204,790,24.66,150.0
Казань,Муниципальный,2019,524,181,34.54,54.56
Зеленодольск,Заключительный,2021,17,1,5.88,58.25
Балтаси,Заключительный,2015,15000,3343,22.29,0.0
Кукмор,Муниципальный,2024,908,358,39.43,97.69
Бавлы,Региональный,2024,415,77,,
Буинск,Муниципальный,2019,725,200,27.59,92.5
Бугульма,Школьный,2019,3392,553,16.3,93.55
Бугульма,Муниципальный,2020,642,126,,88.16
Мамадыш,Школьный,2024,4106,1164,28.35,60.15
Заинск,Муниципальный,2022,358,140,39.11,87.86
Азнакаево,Школьный,2016,1453,322,,87.41
Елабуга,Муниципальный,2015,268,81,30.22,54.56
Арск,Региональный,2018,444,131,29.5,63.72
Заинск,Школьный,2020,1684,496,29.45,
Апастово,Региональный,2016,1,0,0.0,
Альметьевск,Школьный,2017,3274,539,16.46,66.41
Бавлы,Муниципальный,2021,954,96,10.06,57.82
Балтаси,Региональный,2022,471,82,17.41,80.42
Менделеевск,Региональный,2019,339,118,34.81,
Чистополь,Региональный,2017,492,147,29.88,50.1
Менделеевск,Школьный,2017,1377,526,38.2,
Кукмор,Заключительный,2021,63,19,30.16,
Казань,Муниципальный,2016,839,196,23.36,55.47
Казань,Муниципальный,2019,884,104,,94.9
Апастово,Региональный,2015,273,86,31.5,85.72
Зеленодольск,Заключительный,2020,90,32,,96.61
Казань,Школьный,2022,2084,222,10.65,82.37
Агрыз,Муниципальный,2023,354,66,18.64,74.74
Зеленодольск,Школьный,2022,3430,1156,,
Альметьевск,Региональный,2022,177,63,35.59,
Агрыз,Региональный,2021,118,40,,
Казань,Заключительный,2017,44,15,34.09,72.89
Заинск,Муниципальный,2016,995,355,35.68,
Альметьевск,Муниципальный,2017,351,56,15.95,64.05
Альметьевск,Школьный,2018,4351,761,17.49,85.3
Чистополь,Региональный,2023,129,32,24.81,81.12
Зеленодольск,Региональный,2015,104,34,32.69,67.52
Балтаси,Заключительный,2023,9999,3223,32.23,78.58
Бавлы,Муниципальный,2016,101,29,,69.28
Чистополь,Школьный,2015,696,195,28.02,88.35
Балтаси,Заключительный,2021,48,13,27.08,57.78
Азнакаево,Заключительный,2024,9999,1169,,67.25
Зеленодольск,Заключительный,2019,51,6,11.76,75.29
Азнакаево,Школьный,2019,2084,350,16.79,59.19
Кукмор,Муниципальный,2016,978,105,10.74,87.39
Чистополь,Школьный,2024,1872,346,18.48,52.29
Азнакаево,Заключительный,2023,1,0,0.0,64.52
Бугульма,Региональный,2018,143,19,13.29,85.84
Азнакаево,Региональный,2015,444,104,23.42,
Арск,Школьный,2023,976,379,38.83,76.81
Азнакаево,Заключительный,2024,40,13,32.5,89.86
Буинск,Школьный,2018,1970,423,21.47,99.33
Бавлы,Муниципальный,2024,233,40,17.17,96.76
Казань,Заключительный,2022,92,25,27.17,88.04
